filename,sha256,bytes,family,architecture,delivered_by
clean.sh,3f3a11bafabb1a35db913cfe51995f2e357d049e268860175876ae5a93d23892,1157,RedTail,script,"130.12.180.51,77.90.185.20"
setup.sh,1e70b63472772e3f5092ffe9c3573470e73590e6ab6d93fdcede1d368a5fd72d,2126,RedTail,script,"130.12.180.51,77.90.185.20"
redtail.arm7,d70f917e35813a7ae323e6b2b539d6dbbfc3a3a6599f1fed93430b14ca08b141,1448252,RedTail,armv7,"130.12.180.51,77.90.185.20"
redtail.arm8,d1cac82f44b54b0fd244a9e4122811e9ae108a197c7a65a20fd2e7552683e68e,1696412,RedTail,armv8,"130.12.180.51,77.90.185.20"
redtail.i686,8e1a67a5c03b3cd818f046c7a1605afccc0ee5ce437a0d099881f1872b54bc70,1838060,RedTail,i686,"130.12.180.51,77.90.185.20"
redtail.riscv,3f3bf218089d1488617d37f8a5116bb2791eb39ce06a1b5bc9a4cdfe5e94dd39,1759768,RedTail,riscv,"130.12.180.51,77.90.185.20"
redtail.x86_64,f0aa83bbbd2c75e2f71ec16029ee5fcfad59f3a8efa30a500b815f0f6c18d987,1989056,RedTail,x86_64,"130.12.180.51,77.90.185.20"
skhqwensw,6f45c6d9c70d97f695cb7bbef362812a17f8ed4d37dafc342c26c86ed9b43638,,XorDDoS,elf32-le,23.160.56.218
,6aa5054a95d23277df417a5f69cf292e19bc2ef0406bc0c1884935a44e3ce797,,unattributed,script,
